,coord,frequentadores
265,"[294736, 7390660]","[5120629102, 5120629102, 5120629101, 5120629101]"
266,"[294736, 7411200]","[5170044102, 5170012104, 5170333102, 5170333103, 5171203103, 5170433102, 5170433106, 5170433103]"
267,"[294745, 7410566]",[5170030102]
268,"[294806, 7410699]",[5171174102]
269,"[294843, 7411288]",[5170043103]
270,"[294849, 7411592]","[5170333103, 5170333102, 5170333101]"
271,"[294869, 7410626]","[5170028102, 5170028103]"
272,"[294881, 7411254]","[5171418102, 5171418102]"
273,"[294941, 7411138]",[5170044103]
274,"[294951, 7411068]",[5170033102]
275,"[294963, 7410482]","[5170015101, 5170015103]"
276,"[294974, 7351588]",[4750018101]
277,"[294991, 7390690]",[5120321102]
278,"[294997, 7410573]",[5170304103]
279,"[295000, 7410901]","[5170315104, 5170315103]"
280,"[295020, 7388059]",[5120321102]
281,"[295033, 7386274]",[5120041104]
282,"[295034, 7410903]",[5170008104]
283,"[295036, 7411253]","[5170043101, 5170043103]"
284,"[295048, 7410850]","[5170309101, 5170309104]"
285,"[295055, 7387628]",[5120595104]
286,"[295064, 7387103]","[5120026103, 5120026104, 5120026104, 5120026101, 5120026101]"
287,"[295070, 7387597]",[5121146101]
288,"[295073, 7411303]","[5170433106, 5170433105, 5170433104, 5170433103, 5170433102, 5170433107, 5170419104]"
289,"[295077, 7388531]","[5120022102, 5120022101, 5120022101]"
290,"[295079, 7395436]","[5150018102, 5150018101]"
291,"[295120, 7390070]","[5120005107, 5120005103, 5120005102]"
292,"[295123, 7380049]","[5111336101, 5111336103, 5111336106, 5111336102, 5111336105, 5111336104]"
293,"[295150, 7381390]",[5082272101]
294,"[295182, 7395398]","[5130006103, 5130006103]"
295,"[295198, 7379614]","[5111339103, 5111339101]"
296,"[295224, 7387903]","[5120628103, 5120628102]"
297,"[295238, 7390346]",[5121146104]
298,"[295243, 7411456]","[5171599102, 5171599101]"
299,"[295248, 7388030]","[5120035103, 5120035102]"
300,"[295250, 7388025]","[5120027101, 5120027103, 5120027101]"
301,"[295252, 7381756]",[5070024101]
302,"[295275, 7411259]","[5171307101, 5171307102]"
303,"[295296, 7411001]","[5170515102, 5170515102]"
304,"[295299, 7410966]","[5170052104, 5170052102]"
305,"[295303, 7381599]",[281733101]
306,"[295304, 7394985]",[5150018102]
307,"[295319, 7411011]","[5171409102, 5171409104]"
308,"[295327, 7410920]",[5171599101]
309,"[295343, 7411965]",[5170008105]
310,"[295364, 7386390]","[5121660104, 5121660105, 5121660103, 5121660101]"
311,"[295374, 7411188]",[5170052102]
312,"[295377, 7386655]","[5121663103, 5121663102, 5121663101]"
313,"[295380, 7388166]","[5120027102, 5120027101, 5120027103, 5120027101]"
314,"[295399, 7386675]","[5121913104, 5121913101, 5121913103]"
315,"[295401, 7381052]",[5110902102]
316,"[295405, 7411104]","[5170033103, 5170033101, 5170033101]"
317,"[295405, 7411138]",[5171173101]
318,"[295405, 7411139]","[5170419104, 5160016101, 5170433104, 5170433105]"
319,"[295412, 7410905]","[5170515101, 5170515102, 5170515102]"
320,"[295415, 7410915]",[5171599102]
321,"[295419, 7410923]","[5170022101, 5170022102]"
322,"[295437, 7411149]",[5170388102]
323,"[295438, 7386531]",[5121156103]
324,"[295441, 7411091]","[5170012103, 5170052104]"
325,"[295441, 7411092]",[5170031102]
326,"[295445, 7393442]",[5130310101]
327,"[295456, 7392590]","[5130315101, 5130315101, 5130315102]"
328,"[295458, 7411146]","[5171172101, 5171172101]"
329,"[295459, 7386668]","[5121914102, 5121914101, 5121914102, 5121914103]"
330,"[295460, 7382015]","[5121176103, 5121176103]"
331,"[295477, 7386824]",[5121599101]
332,"[295482, 7388047]",[2471105102]
333,"[295496, 7386451]","[5121156103, 5121156101]"
334,"[295507, 7386290]","[5121004103, 5121004104, 5121004102, 5121004101]"
335,"[295515, 7386839]","[5121599101, 5121599102, 5121599103]"
336,"[295516, 7386819]","[5120578104, 5120578103, 5120578102]"
337,"[295516, 7387619]",[5121125101]
338,"[295525, 7387041]",[5120009102]
339,"[295529, 7390169]",[800050101]
340,"[295547, 7410839]",[5170022102]
341,"[295565, 7387105]","[5120693102, 5120693103, 5120693101, 5120693105, 5120693104, 5120693101]"
342,"[295572, 7387048]",[2721851103]
343,"[295590, 7383034]","[5120002102, 5120002103, 5120002104, 5120002101]"
344,"[295606, 7390266]",[5090311102]
345,"[295614, 7386509]","[5120035102, 5120035103, 5120035101, 5120035101]"
346,"[295628, 7383190]",[5120003101]
347,"[295630, 7387596]","[5120022101, 5120022102]"
348,"[295632, 7390293]","[5120039101, 5120039102]"
349,"[295640, 7386919]","[5121914102, 5121913104, 5121914103, 5121914102, 5121663103]"
350,"[295672, 7352083]",[4750018104]
351,"[295686, 7388482]","[5120671101, 5120671102]"
352,"[295690, 7390308]","[5120009102, 5121148103]"
353,"[295697, 7386721]","[5120030102, 5120030101, 5120030103]"
354,"[295701, 7386418]",[5121004103]
355,"[295719, 7383126]","[5120011104, 5060054102, 5120003105, 5120002103, 5120011105, 5120003104, 5120003101, 5120002104, 5120003101]"
356,"[295725, 7352206]","[4750059104, 4750059105]"
357,"[295737, 7352011]","[4750047101, 4750047102]"
358,"[295755, 7411925]","[5170012105, 5170012101, 5170012101]"
359,"[295766, 7383274]",[5121635101]
360,"[295771, 7390336]",[5120004103]
361,"[295778, 7410372]","[5170320107, 5170320106]"
362,"[295792, 7382991]","[5120003104, 5120003101, 5120003101, 5120003105, 5121171103, 5121171103]"
363,"[295827, 7387670]",[5121599102]
364,"[295830, 7390395]",[5120628102]
365,"[295834, 7385060]",[5121635101]
366,"[295873, 7387744]",[4770037102]
367,"[295874, 7387750]","[5080090101, 5080090102, 5080090104]"
368,"[295949, 7394393]","[5130323104, 5130330105, 5130331103]"
369,"[295968, 7383328]","[5120003105, 5120003104, 5120003101, 5120003101]"
370,"[295983, 7383120]","[5120011105, 5120011103, 5120011104]"
371,"[295991, 7352039]","[4750050103, 4750050102]"
372,"[296094, 7393005]",[5130005102]
373,"[296099, 7383073]","[5120706101, 5120706103]"
374,"[296104, 7396017]",[5150335101]
375,"[296157, 7393009]","[5130004101, 5130004102]"
376,"[296159, 7352048]","[4750047102, 4750047101]"
377,"[296228, 7410266]",[5170452103]
378,"[296284, 7401168]","[5160056105, 5160056103]"
379,"[296292, 7384487]","[5121655101, 5121655103, 5121655102]"
380,"[296303, 7401019]","[5160056101, 5160056102, 5160056103, 5160056104, 5160056105]"
381,"[296308, 7401692]",[4890830104]
382,"[296315, 7393981]","[5130319103, 5130319102]"
383,"[296355, 7386121]",[5120311101]
384,"[296364, 7394097]","[5130338103, 5130338101]"
385,"[296366, 7394100]","[5130323103, 5130323104, 5130323102]"
386,"[296400, 7388409]","[5121125101, 5121125102]"
387,"[296407, 7394154]","[5130313101, 5130313102]"
388,"[296443, 7394059]","[5130002104, 5130002103, 5130002101]"
389,"[296455, 7383858]","[5121176104, 5121176101, 5121176105, 5121176103, 5121176103, 5121176102]"
390,"[296455, 7400864]",[5160056104]
391,"[296500, 7394478]",[5130320101]
392,"[296527, 7394496]","[5130320102, 5130006103, 5130302101, 5130006103, 5130320102, 5130320101]"
393,"[296540, 7384230]","[5121249101, 5121249102, 5121249103]"
394,"[296566, 7394447]","[5130331103, 5130331101, 5130331102]"
395,"[296610, 7396045]",[5150021101]
396,"[296679, 7384602]",[5120044101]
397,"[296690, 7395917]",[5150418101]
398,"[296708, 7383117]",[1090549101]
399,"[296720, 7383552]",[5110926102]
400,"[296779, 7384359]","[5121179104, 5121176104, 5121176105]"
401,"[296786, 7394575]","[5130322102, 5130322101]"
402,"[296818, 7395775]","[5150953101, 5150953103, 5150953105, 5150953106, 5150953107, 5150953108]"
403,"[296822, 7383589]","[5121179101, 5121179102, 5121179103, 5121179102, 5121179104]"
404,"[296822, 7384224]",[5121179103]
405,"[296822, 7384226]","[5121120103, 5121120102]"
406,"[296879, 7384389]","[5121249102, 5121249103, 5121249101]"
407,"[296883, 7384351]","[5110915102, 5080109102]"
408,"[296934, 7385082]","[5121120103, 5121120102, 5121120101]"
409,"[296973, 7383178]",[4970399101]
410,"[296994, 7394696]","[5130330102, 5130330105, 5130330103, 5130330102, 5130330101]"
411,"[297004, 7395215]","[5150304104, 5150304102]"
412,"[297025, 7347794]",[4680094101]
413,"[297031, 7396080]","[5150041102, 5150041106, 5150041102, 5150041105, 5150041101]"
414,"[297051, 7391506]","[5130534104, 5130534101]"
415,"[297058, 7394496]","[5130306103, 5130306102]"
416,"[297060, 7382097]","[5121176101, 5121176101, 5121176102]"
417,"[297092, 7394822]","[5130330103, 5130330102, 5130330102, 5130338103]"
418,"[297093, 7384188]",[681190101]
419,"[297102, 7384288]","[5121179102, 5121179102, 5120722101]"
420,"[297104, 7395621]",[5152071101]
421,"[297124, 7353032]",[4750046101]
422,"[297151, 7394906]",[5130338101]
423,"[297167, 7352478]","[4750035101, 4750003101, 4750035102, 4750035102]"
424,"[297196, 7395764]","[5130319102, 5130319103]"
425,"[297200, 7387265]","[5060649103, 5080086102]"
426,"[297220, 7387249]","[5080090102, 5080090103, 5080090104, 5080090101]"
427,"[297224, 7387277]","[5060031101, 4870049101, 4870049102]"
428,"[297346, 7409189]",[5170038101]
429,"[297363, 7353693]","[4750046103, 4750046101, 4750046102]"
430,"[297373, 7409187]","[5170046104, 5170046102, 5170046101]"
431,"[297401, 7393224]","[5130304103, 5130304101, 5130304104]"
432,"[297415, 7385506]",[5110351101]
433,"[297435, 7409298]",[5170332102]
434,"[297437, 7383093]","[5080109103, 5080109101, 5080109102]"
435,"[297440, 7409306]","[5170352104, 5170046101, 5170046102, 5170046104, 4760609101]"
436,"[297448, 7408913]","[5170037101, 5170037101]"
437,"[297456, 7395624]",[5030303101]
438,"[297476, 7409225]",[5170310104]
439,"[297478, 7409239]",[5170345102]
440,"[297484, 7386819]",[5080090103]
441,"[297484, 7408914]","[5170037101, 5170037101]"
442,"[297501, 7409090]","[5170045101, 5170045102]"
443,"[297506, 7385629]",[5110001101]
444,"[297529, 7409297]",[5170045101]
445,"[297534, 7409294]",[5170309101]
446,"[297608, 7396508]",[5150304104]
447,"[297624, 7355800]","[4751718103, 4750057101, 4751718101, 4751718102]"
448,"[297672, 7395726]",[520315101]
449,"[297703, 7395927]","[5150041102, 5150041105, 5150041102]"
450,"[297705, 7355809]","[4750039104, 4750039101]"
451,"[297754, 7409104]","[5170027101, 5170027103, 5170027102]"
452,"[297754, 7409955]","[5170385103, 5170385102, 5170385104]"
453,"[297761, 7409947]","[5170328102, 5170328102, 5170328101, 5170328101]"
454,"[297762, 7409171]","[5170352101, 5170352104]"
455,"[297767, 7409940]","[5170328101, 5170328101, 5170328103, 5170328102, 5170328102]"
456,"[297775, 7409432]","[5170310104, 5170310101]"
457,"[297800, 7409102]",[5170020101]
458,"[297803, 7395941]","[5150988101, 5150988102]"
459,"[297818, 7395588]","[5150080103, 5150080102, 5150080101]"
460,"[297819, 7408874]","[5170320102, 5170320107, 5170320106, 5170320103, 5170320101]"
461,"[297826, 7408970]",[5170013101]
462,"[297840, 7410356]","[5170452101, 5170452103, 5170452102, 5170452104]"
463,"[297842, 7385788]",[5081629102]
464,"[297866, 7395139]",[5130323103]
465,"[297872, 7408903]",[5170302103]
466,"[297875, 7355941]","[4750026105, 4750001104, 4750001105, 4751718103, 4700310101]"
467,"[297879, 7396212]","[5150016106, 5150953103, 5150016103]"
468,"[297887, 7396298]",[5130304104]
469,"[297906, 7387366]","[5080102102, 5080102101]"
470,"[297910, 7395209]",[5130320102]
471,"[297911, 7395207]",[5130322102]
472,"[297911, 7395208]",[5150541106]
473,"[297930, 7409454]","[5170388102, 5170388101]"
474,"[297950, 7395158]",[5130005102]
475,"[297957, 7409145]","[5170302101, 5170302103]"
476,"[297971, 7395733]",[5150016105]
477,"[298002, 7390002]","[5130018102, 5130026101, 5130026104, 5130024104, 5130024103, 5130024103, 5130026103, 5130026102, 5130024102, 5130024101, 5130018101]"
478,"[298026, 7409094]",[5170023102]
479,"[298027, 7409095]","[5170345102, 5170345103]"
480,"[298087, 7408849]","[5170346104, 5170346103, 5170346102, 5170346102, 5170346101]"
481,"[298108, 7396258]",[5150531101]
482,"[298209, 7384200]","[5080055103, 5080055104, 5080055101, 5080055105]"
483,"[298212, 7395784]",[5150016104]
484,"[298215, 7395774]","[5150016103, 5150016106, 5150016104, 5150016102, 5150016105]"
485,"[298224, 7408777]","[5170033102, 5170033101, 5170033103, 5170033101]"
486,"[298299, 7395297]","[5150541101, 5150541106, 5150541104]"
487,"[298300, 7409117]",[5170013101]
488,"[298323, 7396760]","[5150953105, 5150953107, 5150953106]"
489,"[298324, 7410050]","[5170391102, 5170391103]"
490,"[298329, 7409561]","[5171172101, 5171172101]"
491,"[298346, 7401498]",[4810046102]
