,coord,frequentadores
270,"[304727, 7394944]","[5040001105, 5040001105]"
271,"[304738, 7388060]","[5070825105, 5070825106, 5070825106, 5070825105]"
272,"[304743, 7379131]","[5090029103, 5090029103, 5090029104, 5090029104]"
273,"[304791, 7395024]","[5040036103, 5140052103, 5140052103, 5040001103, 5040036103, 5040006103, 5040001103]"
274,"[304825, 7388191]","[5111328104, 5111328104]"
275,"[304825, 7394706]","[5040307103, 5040307103]"
276,"[304832, 7396171]","[5040026103, 5040026103, 5140060103, 5140060103]"
277,"[304855, 7395143]","[5040018104, 5040018104, 5040018104, 5040018104]"
278,"[304870, 7388256]","[5060045102, 5060045102, 5080050102, 5080050102]"
279,"[304922, 7394659]","[5040001104, 5040001104]"
280,"[305007, 7393584]","[5140045103, 5140045103, 5050311105]"
281,"[305040, 7393813]","[5140012103, 5140929103, 5050317104, 5050317104, 5050317103, 5140048103, 5140048103, 5050317103, 5140012103]"
282,"[305049, 7396755]","[5030644105, 5030302103, 5030303103, 5030644103, 5030303103, 5030644103, 5030302103, 5030311105, 5030302104, 5030324106, 5030324104, 5030324105, 5030324106, 5030311105, 5030324104, 5030644104, 5030307104, 5030644104, 5030315103, 5030315103, 5030307104]"
283,"[305070, 7388168]",[5080116102]
284,"[305071, 7396078]","[5040496104, 5040496104]"
285,"[305077, 7388274]","[5080086103, 5080086103, 5080086103, 5080110104, 5080110104]"
286,"[305162, 7395306]","[5040026104, 5040018103, 5040018103]"
287,"[305167, 7395339]","[5040329105, 5040329105]"
288,"[305178, 7393884]","[5140002103, 5140002103]"
289,"[305187, 7393765]","[5050327103, 5050327103, 5050327103, 5050327103, 5050311104]"
290,"[305198, 7393747]","[5050332104, 5050311103, 5050311103, 5050332104]"
291,"[305223, 7398420]","[4820006102, 4820022103, 4820022104, 4820049103, 4820049103, 4820049103]"
292,"[305324, 7395946]","[5040496102, 5040496102]"
293,"[305358, 7389225]","[5080308104, 5080308103, 5080075104, 5080075104, 5080308104, 5080308103]"
294,"[305360, 7396547]","[5040044102, 5040044102, 5040044102, 5040044102]"
295,"[305412, 7393181]","[5050007104, 5050007104, 5050007104]"
296,"[305449, 7406210]","[3170006104, 3170006104]"
297,"[305457, 7394332]","[5141095104, 5141095104]"
298,"[305500, 7396392]","[5031284103, 5031284103, 5031284103]"
299,"[305577, 7389109]","[5070021104, 5070021104]"
300,"[305577, 7403346]","[5161308105, 5161308104, 5161308104, 5161308105]"
301,"[305606, 7393922]","[5050317105, 5050317105, 5050317106, 5050317106]"
302,"[305662, 7396507]","[5030625104, 5030625104]"
303,"[305687, 7395251]","[5040329104, 5040329104]"
304,"[305704, 7396047]","[5031273103, 5031273103]"
305,"[305720, 7376600]","[5090027105, 5090022103, 5090531103, 5090531103, 5090022103, 5090027104, 5090027104, 5090027105]"
306,"[305725, 7396319]","[5031275104, 5031275104]"
307,"[305750, 7386743]","[5070692103, 5070692103]"
308,"[305758, 7398269]","[4820738105, 4820738103, 4820738103, 4820738104, 4820738105, 4820738104]"
309,"[305775, 7396727]","[5030636103, 5030636103]"
310,"[305777, 7389225]","[5070021103, 5070021103]"
311,"[305800, 7396045]","[5050698103, 5050698103]"
312,"[305846, 7399705]","[4830009103, 4830024103, 4830009103, 4830024103, 4830024102, 4830024102]"
313,"[305914, 7396748]","[5030305102, 5030305102, 5030646103, 5030646103]"
314,"[305938, 7396535]","[5030311103, 5030324103, 5030324103, 5030311103, 5030311103, 5030311103, 5030311103, 5030041103, 5030325103, 5030325103, 5030311103, 5030041103]"
315,"[305956, 7396026]","[5041381102, 5041381102]"
316,"[305961, 7398270]","[4820028101, 4820028101, 4820028101, 4820028101]"
317,"[305966, 7398227]","[4820384102, 4820384102]"
318,"[305967, 7398340]","[4820043102, 4820043103, 4820043102, 4820043103]"
319,"[305971, 7388747]","[5060046103, 5060046103, 5080112103, 4870033103, 5080112104, 5080112104, 5080112103, 4870033103]"
320,"[306010, 7402392]","[5161842102, 5161842102]"
321,"[306020, 7396437]","[5041406104, 5041406104]"
322,"[306029, 7410466]",[5160046104]
323,"[306043, 7402399]","[5161872104, 5161872104]"
324,"[306046, 7396801]","[5050013103, 5050013103]"
325,"[306054, 7394184]","[5050333103, 5050333103]"
326,"[306083, 7398967]","[4820001102, 4820001102]"
327,"[306087, 7398882]","[5031284104, 5030625103, 5030625103, 5031284104]"
328,"[306107, 7398890]","[4820306103, 4820748104, 4820353102, 4820748104, 4820353102, 4820306103, 4820306103]"
329,"[306112, 7383747]","[4670028104, 4670028104, 4670028104, 4670004105, 4670004105, 4670004104, 4670004104, 4670028104]"
330,"[306132, 7372370]","[4700301104, 4700301102, 4700481103, 4700301102, 4700301104, 4700305103, 4700305103, 4700305103, 4700002103, 4700481103, 4700002103]"
331,"[306137, 7409843]","[5161116104, 5161116104]"
332,"[306157, 7398333]",[4820002102]
333,"[306200, 7396224]","[5050792103, 5050792103]"
334,"[306231, 7402107]","[5161320103, 5161320103]"
335,"[306244, 7396666]","[5140952102, 5050315105, 5050315105]"
336,"[306255, 7396697]","[4670049103, 4670049103, 4670049103]"
337,"[306260, 7410373]","[5162176103, 5160046102, 5162176103, 5160046102, 5162176103, 5162176103]"
338,"[306269, 7398161]","[4820028102, 4820028102, 4820811104, 4820811106, 4820811106, 4820811104]"
339,"[306281, 7362612]","[4710016106, 4710016106]"
340,"[306464, 7384361]","[4670693104, 4670693104]"
341,"[306501, 7398094]","[4820384103, 4820893106, 4820893106, 4820792103, 4820792103, 4820315103, 4820315103, 4820792102, 4820792102, 4820384103]"
342,"[306505, 7398095]","[4820818104, 4820818103, 4820818104, 4820818103]"
343,"[306515, 7402952]","[5171409104, 5171409104]"
344,"[306528, 7401401]","[4760597104, 4760597103]"
345,"[306549, 7384229]","[4670028103, 4670028103, 4670025110, 4670025110, 4670025107, 4650014103, 4670025106, 4670025106, 4670025104, 4670025104, 4670004103, 4670004103, 4670025107, 4650014103]"
346,"[306560, 7401921]","[5161532104, 5161532104]"
347,"[306569, 7401969]","[5161878105, 5161878105, 5161386105, 5161386104, 5161878103, 5161386104, 5161386104, 5161386104, 5161878103, 5161386105]"
348,"[306572, 7402554]","[5161778103, 5161872102, 5161872102, 5161842104, 5161842103, 5161842103, 5161842104, 5161778103]"
349,"[306606, 7398412]","[4820039103, 4820811105, 4820811105, 5050648104, 5050648104, 5050648104, 4820811103, 4761690106, 5050648104, 4820039103, 4761690106, 4820811103]"
350,"[306608, 7384246]","[4670028105, 4670028105]"
351,"[306645, 7401696]","[5161981104, 5161981104]"
352,"[306676, 7390080]","[5080090104, 5080090104, 5080090104]"
353,"[306682, 7373433]","[4700305105, 4700305105, 4700305105]"
354,"[306707, 7400054]","[5050757105, 5050757105]"
355,"[306716, 7398565]","[4820039102, 4820039102, 4760432102, 4760432102, 4760432102, 4760432102]"
356,"[306716, 7400087]","[4760349104, 4760349104]"
357,"[306800, 7398966]","[4820022102, 5030625105, 4820022102, 5030625105, 5040036104, 5040036104, 5040036104, 5040036104]"
358,"[306806, 7398545]","[4760486103, 4820779102, 4820779102, 4820779102, 4820779102, 4820023103, 4760486103, 4820023103]"
359,"[306811, 7394020]","[5040597102, 5040597102]"
360,"[306816, 7400882]","[4760671104, 4760671104, 4760671104, 4760671104]"
361,"[306818, 7401425]","[5161778104, 4760026103, 4760026103, 5161778104]"
