,coord,frequentadores
200,"[295873, 7387744]","[4770037102, 4770037102]"
201,"[295874, 7387750]","[5080090102, 5080090102]"
202,"[295892, 7458494]",[3040499101]
203,"[295968, 7383328]",[5120003102]
204,"[295983, 7383120]",[5120011101]
205,"[296094, 7393005]",[5130005101]
206,"[296099, 7383073]","[5120706101, 5120706101]"
207,"[296157, 7393009]","[5130004102, 5130004102]"
208,"[296308, 7401692]","[4890830104, 4890830104, 4890830104]"
209,"[296455, 7383858]","[5121176102, 5121176102]"
210,"[296500, 7394478]","[5130320101, 5130320101]"
211,"[296527, 7394496]","[5130302102, 5130006103, 5130006103, 5130006103, 5130006103]"
212,"[296708, 7383117]","[1090549101, 1090549101, 4730035101, 4730035101, 4730035101]"
213,"[296720, 7383552]","[5110926102, 5110926102]"
214,"[296973, 7383178]","[4970399101, 4970399101]"
215,"[297051, 7391506]",[5130534102]
216,"[297058, 7394496]","[5130306101, 5130306102, 5130306102]"
217,"[297102, 7384288]","[5120722101, 5120722101, 5121179102, 5121179102, 5121179102, 5121179102]"
218,"[297108, 7395157]","[5150304102, 5150304102]"
219,"[297151, 7394906]","[5130338101, 5130338101]"
220,"[297196, 7395764]","[5130319103, 5130319103]"
221,"[297363, 7353693]","[4750046101, 4750046101]"
222,"[297373, 7409187]","[5170046101, 5170046101]"
223,"[297415, 7385506]","[5110351101, 5110351101]"
224,"[297437, 7383093]","[5080109101, 5080109101]"
225,"[297440, 7409306]","[4760609101, 4760609101]"
226,"[297448, 7408913]","[5170037101, 5170037101, 5170037101, 5170037101]"
227,"[297456, 7395624]","[5030303101, 5030303101]"
228,"[297529, 7409297]","[5170045101, 5170045101]"
229,"[297534, 7409294]","[5170309101, 5170309101]"
230,"[297624, 7355800]","[4750057103, 4750057101, 4750057101]"
231,"[297754, 7409104]","[5170027103, 5170027101, 5170027101, 5170027103]"
232,"[297754, 7409955]","[5170385102, 5170385102]"
233,"[297761, 7409947]","[5170328102, 5170328102, 5170328102, 5170328102, 5170328101, 5170328101, 5170328101, 5170328101]"
234,"[297775, 7387868]","[5080102101, 5080102102, 5080102102, 5080102101, 5080102102, 5080102101]"
235,"[297819, 7408874]","[5170320101, 5170320101]"
236,"[297824, 7309008]",[4590330101]
237,"[297826, 7408970]","[5170013101, 5170013101]"
238,"[297840, 7410356]","[5170452101, 5170452101, 5170452101]"
239,"[297842, 7385788]","[5081629102, 5081629102]"
240,"[297875, 7355941]","[4700310101, 4700310101, 4700310101, 4700310101]"
241,"[297923, 7452374]","[3350992101, 3350992101, 2860452101]"
242,"[297957, 7409145]","[5170302101, 5170302101]"
243,"[298001, 7409006]",[5170023101]
244,"[298087, 7408849]","[5170346101, 5170346101, 5170346102, 5170346102, 5170346102, 5170346102]"
245,"[298108, 7396258]",[5150531102]
246,"[298215, 7395774]","[5150016102, 5150016102]"
247,"[298237, 7408698]",[5170314101]
248,"[298364, 7409353]",[5170332101]
249,"[298386, 7415099]","[5170012101, 5170012101, 5170012101, 5170012101]"
250,"[298567, 7386730]","[4600026101, 4600026101, 4600026101, 4600026101]"
251,"[298589, 7363565]","[4710011101, 4710011101]"
252,"[298659, 7400781]","[5160120101, 5160120101, 5160120101, 5160120101, 5160120101, 5160120101, 5160120101, 5160120101]"
253,"[298667, 7396408]","[5150953104, 5150953101, 5150953101]"
254,"[298713, 7402080]","[5161778101, 5161778101]"
255,"[298760, 7357222]","[4710008101, 4710008101]"
256,"[298796, 7394629]","[5150541104, 5150541104]"
257,"[298809, 7518696]","[4060038101, 2791274101, 2791274101]"
258,"[298866, 7357194]",[4710022102]
259,"[298870, 7357246]","[4710022103, 4710022103, 4710022103, 4710022103]"
260,"[298870, 7386948]","[5110029101, 5110029101]"
261,"[298897, 7394697]","[5142346104, 5142346104]"
262,"[298921, 7400622]","[1041177101, 1041177101]"
263,"[298942, 7357372]",[4710022101]
264,"[299001, 7400580]","[4811708101, 4811708101]"
265,"[299064, 7387772]","[5080072104, 5080072104]"
266,"[299093, 7396449]","[5150392101, 5150392103, 5150392101, 5150392102, 5150392103, 5150392101, 5150392102, 5150392102, 5150392102, 5150392101, 5150392103, 5150392103]"
267,"[299212, 7357484]","[3470051102, 3470051102]"
268,"[299221, 7397865]","[5050485101, 5050485101]"
269,"[299228, 7355161]","[4751710101, 4751710101, 4751710102, 4751710102]"
270,"[299265, 7397693]","[5140011101, 5140011101]"
271,"[299272, 7397694]","[5150051101, 5150051101]"
272,"[299313, 7397956]","[5150953108, 5150953108]"
273,"[299554, 7398072]","[4760014103, 4760014103]"
274,"[299591, 7398355]","[5150402102, 5150402102]"
275,"[299623, 7398112]","[5050007101, 5050007101, 5050007101]"
276,"[299676, 7393901]",[5150008104]
277,"[299697, 7394167]","[5150045102, 5150045102]"
278,"[299698, 7397801]","[2821007102, 2821007102]"
279,"[299707, 7359600]","[4710948101, 4710948101]"
280,"[299734, 7357867]","[4710045104, 4710045104, 4710045103, 4710045103, 4710045102, 4710045102]"
281,"[299805, 7389721]",[5130504101]
282,"[299813, 7400268]","[4830021101, 4830021101, 4830021101, 4830021101, 4830021101, 4830021101]"
283,"[299857, 7387091]","[5070005102, 5070005102]"
284,"[300000, 7389771]","[5130501102, 5130501102]"
285,"[300054, 7393691]",[5150049103]
286,"[300064, 7390040]","[5130024103, 5130024103, 5130024101, 5130024101, 5130024103, 5130024103]"
287,"[300250, 7400515]","[4830020101, 4830020101]"
288,"[300263, 7401095]","[5160083101, 5160083102, 5160083101, 5160083101, 5160083102, 5160083102, 5160083101, 5160083102]"
289,"[300291, 7357864]",[4710045101]
290,"[300301, 7395268]","[5152022101, 5152022101, 5152022101, 5152022101]"
291,"[300376, 7524900]",[970031101]
292,"[300402, 7394385]","[5130534101, 5130534101]"
293,"[300417, 7400803]","[5031286102, 5031286102]"
294,"[300418, 7387279]",[5080061102]
295,"[300475, 7400193]","[4830025101, 4830025101]"
296,"[300485, 7384960]","[5080413103, 5080413103]"
297,"[300538, 7394541]",[5140952104]
298,"[300559, 7409849]","[5170028101, 5170028101]"
299,"[300730, 7386873]","[5080049102, 5080049102, 5080049102, 5080049102]"
300,"[300765, 7401394]","[4911554101, 4911554101]"
301,"[300785, 7394837]","[5150349102, 5150349102]"
302,"[300803, 7393232]","[5150070102, 5150070102]"
303,"[300903, 7396969]","[5141629101, 5141629101]"
304,"[300950, 7394692]","[5130313102, 5130313102]"
305,"[301000, 7360750]","[4710037103, 4710037105, 4710037105, 4710037104]"
306,"[301005, 7400756]","[4760019101, 4760019101]"
307,"[301010, 7386055]","[5080021102, 5080021102, 5080021101]"
308,"[301096, 7386930]",[5080836101]
309,"[301145, 7393743]","[5040045101, 5040045101]"
310,"[301161, 7393095]","[5150017101, 5150017102, 5150017102, 5150017102, 5150017102]"
311,"[301186, 7384294]","[5080362101, 5080362101, 5080362101, 5080362101]"
312,"[301218, 7394112]","[5140041101, 5140041101]"
313,"[301240, 7388012]","[5080053103, 5080053103]"
314,"[301253, 7386543]","[5080882101, 5080882102]"
315,"[301302, 7395275]","[1510728102, 1510728102]"
316,"[301345, 7388071]",[5080025102]
317,"[301351, 7387998]",[5090024103]
318,"[301388, 7406679]","[5020311101, 5020311101]"
319,"[301395, 7400591]","[4830017101, 4830017103]"
320,"[301404, 7393406]",[5150591102]
321,"[301405, 7394967]",[5140009101]
322,"[301414, 7383559]","[2850321102, 2850321102]"
323,"[301417, 7360611]","[4710886103, 4710886103]"
324,"[301440, 7395252]","[5140040101, 5140040101]"
325,"[301460, 7355228]","[4710892101, 4710892101]"
326,"[301477, 7407899]","[5161878101, 5161878101]"
327,"[301480, 7397600]","[5140010101, 5140010101]"
328,"[301495, 7397721]","[2750309101, 2750309101, 2750309101, 2750309101]"
329,"[301521, 7393852]","[5140948102, 5140948102, 5140948102, 5140948102]"
330,"[301529, 7387843]","[5082252102, 5082252102]"
331,"[301545, 7397332]","[2380677101, 2380677101, 2380677101, 2380677101, 2380677101, 2380677101, 2380677101, 2380677101, 2380677101]"
332,"[301552, 7407753]","[5161809102, 5161809102]"
333,"[301562, 7386976]","[550875101, 550875101]"
334,"[301615, 7387405]","[5080312101, 5080312101]"
335,"[301641, 7359774]","[4710046105, 4710046101, 4710046105]"
336,"[301676, 7395100]","[5140034101, 5140034101, 5140034101, 5140034101]"
337,"[301678, 7392513]","[5150031106, 5150031106]"
338,"[301681, 7360617]","[4710323104, 4710323104, 4710323104, 4710323104]"
339,"[301682, 7401035]",[4870688101]
340,"[301688, 7396525]","[5130304101, 5130304101]"
341,"[301688, 7400551]","[4992277101, 4992277101, 4992277101, 4992277101, 4992277101, 4992277101, 4992277101, 4992277101, 4992277101]"
342,"[301692, 7360627]","[4710323101, 4750037102, 4750037102, 4710014101, 4710014101, 4710015103, 4750037102, 4750037102, 4710323103, 4710323103, 4710323103, 4710014101, 4710014101, 4710015103, 4710015103, 4710015103, 4710323103, 4750037102, 4750037102, 4710323101, 4710323101, 4710323101, 4710306101, 4710003102, 4710003102, 4710900101, 4710306101]"
343,"[301696, 7395596]","[5120030102, 5120030102, 5120030102, 5120030102]"
344,"[301699, 7395600]","[5140060102, 5140060102]"
345,"[301700, 7397303]","[5150600101, 5150600101]"
346,"[301704, 7397301]","[5031283104, 5031283104]"
347,"[301709, 7360660]","[4710043102, 4710043102, 4710043102, 4710043102]"
348,"[301721, 7360444]","[4710040101, 4710040101, 4710040101, 4710040101]"
349,"[301724, 7397332]","[5150074102, 5150074102]"
350,"[301726, 7394504]","[5150356101, 5150356101]"
351,"[301777, 7397023]","[4820893104, 4820893104]"
352,"[301782, 7359935]","[4710890101, 4710890101]"
353,"[301824, 7397034]","[4760655101, 4760655101]"
354,"[301829, 7397035]",[5130320103]
355,"[301865, 7385057]","[5080314101, 5080314101]"
356,"[301875, 7360669]","[3280048101, 3280048101, 3280048101, 3280048101]"
357,"[301876, 7395383]","[5152174102, 5152174102]"
358,"[301899, 7385263]","[5080316103, 5080316103]"
359,"[301909, 7407543]","[5160007102, 5160007102]"
360,"[301914, 7393778]","[5151967101, 5151967101, 5151967101, 5151967101]"
361,"[301927, 7395671]","[5120536101, 5120536101]"
362,"[301930, 7360619]","[4710001101, 4710001101]"
363,"[301933, 7360637]","[4710886102, 4710886102, 4710886101, 4710886101]"
364,"[301936, 7397312]","[5082548101, 5082548101]"
365,"[301943, 7360636]","[4711014101, 4711014101, 4711014105]"
366,"[301955, 7360623]",[4710038101]
367,"[301969, 7360601]",[4710029101]
368,"[301989, 7393666]","[5150033101, 5150033101]"
369,"[302027, 7397046]","[4810042102, 4810042102, 4810042102]"
370,"[302033, 7397044]","[5040468101, 5040468101, 5040468101]"
371,"[302034, 7394346]","[5000047103, 5000047103]"
372,"[302035, 7385241]",[5080327101]
373,"[302042, 7392947]","[5150492101, 5150492101, 5150492104, 5150492104, 5150492105, 5150492106, 5150492106, 5150492108, 5150492105, 5150492107, 5150492108, 5150492107]"
374,"[302048, 7397279]","[4841244101, 4841244101, 4841244101, 4841244101]"
375,"[302049, 7360698]",[4710323102]
376,"[302051, 7360692]","[4711014103, 4711014103]"
377,"[302078, 7394133]","[5150063102, 5150063102]"
378,"[302083, 7361075]","[4710940102, 4710940102]"
379,"[302083, 7361076]",[4710942102]
380,"[302084, 7395554]","[5030644102, 5030644102]"
381,"[302094, 7395575]","[4830018102, 4830018102, 4830018102, 4830018102]"
382,"[302107, 7360619]","[4710001102, 4710001102]"
383,"[302121, 7395447]","[5130002103, 5130002103, 5130002103, 5130002103]"
384,"[302158, 7395398]","[5150054101, 5150054101, 5150054101, 5150054101, 5150054101, 5150054101, 5150054101, 5150054101, 870107103, 5150054101, 870107103]"
385,"[302174, 7393681]","[5150075103, 5150075103]"
386,"[302178, 7388335]","[5083419103, 5083419101, 5083419101]"
387,"[302183, 7395322]","[5130002104, 5130002104, 5130002104, 5130002104]"
388,"[302238, 7395360]","[5130319102, 5130319102, 5130319102, 5130319102, 5130319102]"
389,"[302252, 7395215]","[5130322101, 5130322101]"
390,"[302276, 7385910]","[5080064104, 5080064104, 5080064104, 5080064104]"
391,"[302277, 7395176]","[5150418101, 5150418101]"
392,"[302293, 7394408]",[4820794101]
393,"[302298, 7360718]","[4710896101, 4710896101]"
394,"[302315, 7395137]","[5142343103, 5142343103]"
395,"[302355, 7394972]","[3800055103, 3800055103]"
396,"[302367, 7394468]","[5130320102, 5130320102, 5130320102, 5130320102]"
397,"[302370, 7394501]","[5140077101, 5140077101, 5140077101, 5140077101]"
398,"[302391, 7395393]","[5152071101, 5152071101]"
399,"[302394, 7384942]","[5082278101, 5082278101]"
400,"[302402, 7394858]",[5142342101]
401,"[302404, 7395179]","[5142343101, 5142343101]"
402,"[302428, 7394408]",[5150473102]
403,"[302429, 7393388]",[5150329102]
404,"[302452, 7360778]","[4710306105, 4710306105, 4710306105]"
405,"[302457, 7360795]","[4711014104, 4711014104]"
406,"[302483, 7394765]","[1030783101, 1030783101]"
407,"[302493, 7397878]","[4800015101, 4800015101]"
408,"[302506, 7394669]","[5140069103, 5140069103]"
409,"[302532, 7392863]","[5150044101, 5150044101]"
410,"[302546, 7393754]","[5121179101, 5121179101]"
411,"[302556, 7418164]",[3480023102]
412,"[302577, 7395367]","[5150031102, 5150031102]"
413,"[302579, 7416962]","[3480020101, 3480020101]"
414,"[302588, 7395871]","[5140026101, 5140026101]"
415,"[302601, 7355151]","[4710942101, 4710942101]"
416,"[302606, 7387541]",[5080835101]
417,"[302632, 7395472]",[4680099101]
418,"[302640, 7387234]","[5080087101, 5080087101]"
419,"[302669, 7419131]","[3480026202, 3480026102, 3480026102, 3480026202, 3480026202, 3480026202, 3480026202, 3480026202]"
