,coord,frequentadores
158,"[295968, 7383328]","[5120003104, 5120003104, 5120003105, 5120003105, 5120003104, 5120003103, 5120003102, 5120003101, 5120003101, 5120003101, 5120003101, 5120003101, 5120003101, 5120003105, 5120003101]"
159,"[295968, 7383650]","[5120007102, 5120007101]"
160,"[295983, 7383120]","[5120011106, 5120011105, 5120011105, 5120011104, 5120011103, 5120011104, 5120011103, 5120011102, 5120011101]"
161,"[295991, 7352039]","[4750050101, 4750050102, 4750050102, 4750050103, 4750050103]"
162,"[296094, 7393005]","[5130005102, 5130005101, 5130005102]"
163,"[296099, 7383073]","[5120706103, 5120706102, 5120706101, 5120706101, 5120706103]"
164,"[296104, 7396017]","[5150335102, 5150335101, 5150335101]"
165,"[296157, 7393009]","[5130004101, 5130004102, 5130004102]"
166,"[296159, 7352048]","[4750047102, 4750047101, 4750047102, 4750047101]"
167,"[296292, 7384487]","[5121655101, 5121655102, 5121655102, 5121655101, 5121655103]"
168,"[296303, 7401019]","[5160056105, 5160056104, 5160056103, 5160056104, 5160056101, 5160056101, 5160056103, 5160056102, 5160056102, 5160056105]"
169,"[296305, 7393981]","[5130317101, 5130317102, 5130317103, 5130317104]"
170,"[296315, 7393981]","[5130319103, 5130319103, 5130319102, 5130319101, 5130319102, 5130319102, 5130319102, 5130319102]"
171,"[296364, 7394097]","[5130338101, 5130338103, 5130338103, 5130338102, 5130338101, 5130338104]"
172,"[296366, 7394100]","[5130323102, 5130323102, 5130323103, 5130323104, 5130323104, 5130323101, 5130323103]"
173,"[296400, 7388409]","[5121125101, 5121125101, 5121125101, 5121125102, 5121125102]"
174,"[296407, 7394154]","[5130313101, 5130313101, 5130313102, 5130313102]"
175,"[296443, 7394059]","[5130002104, 5130002103, 5130002103, 5130002104, 5130002103, 5130002102, 5130002101, 5130002101, 5130002104, 5130002103, 5130002104]"
176,"[296455, 7383858]","[5121176101, 5121176104, 5121176105, 5121176105, 5121176103, 5121176103, 5121176103, 5121176103, 5121176104, 5121176103, 5121176102, 5121176102, 5121176101, 5121176101, 5121176101]"
177,"[296459, 7394154]","[5130311102, 5130311101, 5130311103]"
178,"[296527, 7394496]","[5130006103, 5130006103, 5130006103, 5130006102, 5130006101, 5130320101, 5130006104, 5130006105, 5130320101, 5130320103, 5130320102, 5130320102, 5130006103, 5130320102, 5130302102, 5130302101, 5130320102, 5130302101]"
179,"[296566, 7394447]","[5130331101, 5130331103, 5130331102, 5130331103, 5130331101, 5130331102]"
180,"[296610, 7396045]","[5150021102, 5150021101, 5150021101]"
181,"[296679, 7384602]","[5120044101, 5120044101, 5120044102, 5120044103, 5120044104]"
182,"[296690, 7395917]","[5150418101, 5150418101, 5150418102]"
183,"[296729, 7386783]","[5121269102, 5121269101, 5121269103]"
184,"[296786, 7394575]","[5130322101, 5130322102, 5130322102, 5130322101]"
185,"[296818, 7395775]","[5150953106, 5150953101, 5150953105, 5150953103, 5150953103, 5150953102, 5150953101, 5150953107, 5150953107, 5150953106, 5150953108, 5150953104, 5150953105, 5150953108]"
186,"[296822, 7383589]","[5121179104, 5121179102, 5121179102, 5121179101, 5121179102, 5121179102, 5121179104, 5121179101, 5121179103, 5121179103]"
187,"[296879, 7384389]","[5121249103, 5121249101, 5121249101, 5121249102, 5121249102, 5121249103, 5121249102]"
188,"[296934, 7385082]","[5121120101, 5121120104, 5121120103, 5121120103, 5121120101, 5121120102, 5121120102]"
189,"[296994, 7394696]","[5130330102, 5130330104, 5130330102, 5130330102, 5130330101, 5130330103, 5130330103, 5130330102, 5130330105, 5130330105, 5130330101]"
190,"[297004, 7395215]","[5150304104, 5150304102, 5150304101, 5150304103, 5150304104, 5150304102]"
191,"[297031, 7396080]","[5150041102, 5150041102, 5150041102, 5150041103, 5150041104, 5150041101, 5150041101, 5150041106, 5150041105, 5150041102, 5150041106, 5150041105]"
